AttractionId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,CityId,CityName,CountryId,ContinentId,Continent,Country,RegionId,Region,VisitModeId,VisitMode,TransactionId,UserId,VisitYear,VisitMonth,Rating,AttractionType,UserId.1,ContinentId.2,RegionId.2,CountryId.2,CityId.1
937,2,72,Malang City Square,"Jl. Merdeka Utara, Malang 65119 Indonesia",16,Grand Baie,6,,,Tunisia,3,Oceania,,,46,50130,2022,9,3,Waterfalls,51,4,15,109,4940
947,2,91,Mount Semeru Volcano,Malang Lumajang,17,Grand Gaube,6,,,Angola,4,Central Europe,,,54,30450,2022,8,4,,52,4,15,109,535
949,2,84,Museum Malang Tempo Doeloe,"Jl. Gajahmada no. 2, Malang 65119 Indonesia",18,Mauritius,6,,,Botswana,4,Eastern Europe,,,56,82637,2022,7,4,,54,5,21,163,8687
975,2,63,Sempu Island,"Sumber Manjing Wetan, Malang 65111 Indonesia",19,Moka,6,,,Malawi,4,Northern Europe,,,61,33716,2022,7,5,,56,2,8,48,302
1133,3,19,Jomblang Cave,"Jetis Wetan, Pacarejo, Semanu 55581 Indonesia",20,Pailles,6,,,Mozambique,4,Southern Europe,,,64,46517,2022,8,1,,57,5,21,163,9111
1137,3,61,Kalibiru National Park,Kulon Progo,21,Port Louis,6,,,Namibia,4,Western Europe,,,66,50127,2022,8,5,,59,5,20,150,692
1166,3,34,Malioboro Road,Yogyakarta,22,Quatre Bornes,6,,,South Africa,4,,,,67,61876,2022,8,5,,60,1,3,14,52
1171,3,91,Merapi Volcano,Yogyakarta,23,Rose Belle,6,,,Burkina Faso,5,,,,68,16769,2022,6,5,,61,4,15,109,535
1220,3,10,Ramayana Ballet at Prambanan,Sleman,24,Cerf Island,7,,,Cape Verde,5,,,,69,9804,2022,7,4,,65,2,8,51,800
1225,3,2,Ratu Boko Temple,Yogyakarta,25,Mahe Island,7,,,Cìte d'Ivoire,5,,,,72,44419,2022,7,5,,67,2,9,54,2208
1238,3,2,Sewu Temple,Yogyakarta,26,Victoria,7,,,Ghana,5,,,,73,84531,2022,7,5,,70,5,21,163,8652
1278,3,45,Ullen Sentalu Museum,"Jl. Boyong Taman Wisata, 55581 Indonesia",27,Khartoum,8,,,NIGERIA,5,,,,75,83915,2022,7,5,,72,4,15,109,4070
1280,3,72,Water Castle (Tamansari),"Jl. Taman, 55133 Indonesia",28,Port Sudan,8,,,Senegal,5,,,,76,62742,2022,7,4,,79,3,14,103,3354
1297,3,44,Yogyakarta Palace,Yogyakarta,29,Rumbek,8,,,Antigua and Barbuda,6,,,,77,47615,2022,7,5,,83,2,8,48,573
1298,0,Temple,Ancient Temple - -,"Main Street, -, -",30,Sudan,8,,,Bahamas,6,,,,78,85459,2022,7,5,,85,4,16,115,5666
1299,0,Beach,Paradise Beach - -,"Main Street, -, -",31,Arusha,9,,,Barbados,6,,,,80,71946,2022,7,3,,90,3,12,85,2558
1300,0,Park,National Park - -,"Main Street, -, -",32,Dar es Salaam,9,,,Cayman Island,6,,,,82,54719,2022,7,5,,92,5,21,163,426
1301,0,Museum,Cultural Heritage Center - -,"Main Street, -, -",33,Msasani,9,,,Cuba,6,,,,87,16291,2022,7,4,,94,4,15,109,3755
1302,2,Museum,Art Gallery - South Region,"Main Street, South Region, Cameroon",34,Stone Town,9,,,Curacao,6,,,,93,18137,2022,6,1,,97,2,8,51,859
1303,2,Market,Farmers' Market - South Region,"Main Street, South Region, Cameroon",35,Tanzania,9,,,Dominican Republic,6,,,,95,37338,2022,6,5,,98,3,14,106,3551
1304,2,Market,Night Market - South Region,"Main Street, South Region, Cameroon",36,Zanzibar Island,9,,,Grand Cayman,6,,,,97,18628,2022,6,4,,102,4,15,109,3915
1305,2,Temple,Cathedral - South Region,"Main Street, South Region, Cameroon",37,Kampala,10,,,Jamaica,6,,,,103,47542,2022,6,3,,103,1,4,22,106
1306,1,Park,Eco Park - Douala,"Main Street, Douala, Cameroon",38,Livingstone,11,,,Puerto Rico,6,,,,105,71155,2022,6,5,,112,3,13,93,2819
1307,1,Museum,Art Gallery - Douala,"Main Street, Douala, Cameroon",39,Lusaka,11,,,St Martin / St Maarten,6,,,,106,73515,2022,6,5,,113,5,17,125,6000
1308,1,Beach,Paradise Beach - Douala,"Main Street, Douala, Cameroon",40,Solwezi,11,,,Trinidad and Tobago,6,,,,111,1953,2022,5,4,,116,3,14,101,3098
1309,1,Temple,Sacred Shrine - Douala,"Main Street, Douala, Cameroon",41,South Luangwa National Park,11,,,Turks and Caicos Islands,6,,,,112,31372,2022,5,4,,117,5,19,142,6512
1310,3,Beach,Crystal Bay - N'Djamena,"Main Street, N'Djamena, Chad",42,Victoria Falls,11,,,Belize,7,,,,114,35045,2022,5,5,,118,4,15,109,3915
1311,3,Market,Farmers' Market - N'Djamena,"Main Street, N'Djamena, Chad",43,Harare,12,,,Costa Rica,7,,,,116,79488,2022,4,2,,119,3,11,69,2282
1312,3,Museum,Cultural Heritage Center - N'Djamena,"Main Street, N'Djamena, Chad",44,Alger,13,,,Guatemala,7,,,,117,14186,2022,4,4,,122,4,15,109,1434
1313,3,Market,Farmers' Market - N'Djamena,"Main Street, N'Djamena, Chad",45,Algiers,13,,,Honduras,7,,,,123,78554,2021,10,5,,125,4,15,109,4303
1314,5,Park,National Park - Kigali Province,"Main Street, Kigali Province, Rwanda",46,Blida Province,13,,,Nicaragua,7,,,,124,30511,2021,11,5,,129,2,8,51,950
1315,5,Beach,Crystal Bay - Kigali Province,"Main Street, Kigali Province, Rwanda",47,Oran,13,,,Panama,7,,,,127,50138,2021,7,5,,131,4,15,109,3881
1316,5,Museum,Science Museum - Kigali Province,"Main Street, Kigali Province, Rwanda",48,Ad Duqqi,14,,,Canada,8,,,,132,83974,2020,10,5,,133,4,15,109,4940
1317,5,Temple,Cathedral - Kigali Province,"Main Street, Kigali Province, Rwanda",49,Al Rehab,14,,,Greenland,8,,,,133,40006,2021,5,5,,137,3,14,101,3098
1318,4,Beach,Golden Sand Beach - Kigali,"Main Street, Kigali, Rwanda",50,Alexandria,14,,,Mexico,8,,,,136,50311,2021,1,4,,139,3,14,101,3208
1319,4,Temple,Grand Mosque - Kigali,"Main Street, Kigali, Rwanda",51,Alexandria Governorate,14,,,United States,8,,,,138,56894,2021,1,5,,142,4,15,109,4616
1320,4,Market,Local Bazaar - Kigali,"Main Street, Kigali, Rwanda",52,Cairo,14,,,Argentina,9,,,,141,36421,2020,12,5,,147,5,19,145,1963
1321,4,Museum,Cultural Heritage Center - Kigali,"Main Street, Kigali, Rwanda",53,Cairo Governorate,14,,,Bolivia,9,,,,143,62902,2020,1,5,,149,4,15,109,4616
1322,6,Beach,Sunset Cove - Addis Ababa,"Main Street, Addis Ababa, Ethiopia",54,Dahab,14,,,Brazil,9,,,,144,61175,2020,12,5,,152,4,15,109,3945
1323,6,Park,National Park - Addis Ababa,"Main Street, Addis Ababa, Ethiopia",55,Egypt,14,,,Chile,9,,,,145,61849,2019,11,4,,153,4,15,109,1434
1324,6,Market,Farmers' Market - Addis Ababa,"Main Street, Addis Ababa, Ethiopia",56,El Alamein,14,,,Colombia,9,,,,150,51784,2019,10,5,,154,4,15,109,4940
1325,6,Park,Eco Park - Addis Ababa,"Main Street, Addis Ababa, Ethiopia",57,Giza,14,,,Ecuador,9,,,,158,61709,2019,12,5,,155,3,11,74,2468
1326,7,Temple,Ancient Temple - Karen,"Main Street, Karen, Kenya",58,Hurghada,14,,,Peru,9,,,,168,64920,2020,3,4,,156,2,8,48,465
1327,7,Park,National Park - Karen,"Main Street, Karen, Kenya",59,Luxor,14,,,Suriname,9,,,,170,27538,2020,4,5,,157,3,14,101,3098
1328,7,Temple,Cathedral - Karen,"Main Street, Karen, Kenya",60,Mansoura,14,,,Uruguay,9,,,,171,27449,2019,7,4,,158,4,15,109,1434
1329,7,Beach,Golden Sand Beach - Karen,"Main Street, Karen, Kenya",61,New Cairo City,14,,,Venezuela,9,,,,172,64392,2020,3,5,,160,2,8,51,1935
1330,8,Temple,Cathedral - Kenya,"Main Street, Kenya, Kenya",62,Sharm El Sheikh,14,,,Asia,0,,,,174,79911,2019,11,5,,162,4,15,109,3750
1331,8,Museum,Cultural Heritage Center - Kenya,"Main Street, Kenya, Kenya",63,Siwa,14,,,Armenia,10,,,,176,55535,2020,3,5,,166,4,15,109,3945
1332,8,Beach,Crystal Bay - Kenya,"Main Street, Kenya, Kenya",64,South Sinai,14,,,Kazakhstan,10,,,,181,51283,2020,3,4,,170,2,8,48,515
1333,8,Temple,Grand Mosque - Kenya,"Main Street, Kenya, Kenya",65,Tanta,14,,,Kyrgyzstan,10,,,,183,73796,2020,3,4,,176,4,15,109,535
1334,12,Temple,Sacred Shrine - Shimoni,"Main Street, Shimoni, Kenya",66,Casablanca,15,,,Mongolia,10,,,,185,21207,2020,3,3,,177,4,16,115,5639
1335,12,Temple,Ancient Temple - Shimoni,"Main Street, Shimoni, Kenya",67,Chefchaouen,15,,,Turkmenistan,10,,,,187,23868,2020,3,5,,180,5,21,163,9009
1336,12,Temple,Cathedral - Shimoni,"Main Street, Shimoni, Kenya",68,El Jadida,15,,,Uzbekistan,10,,,,190,13954,2019,8,3,,182,2,8,51,1195
1337,12,Museum,History Museum - Shimoni,"Main Street, Shimoni, Kenya",69,Fes,15,,,China,11,,,,192,55381,2019,6,2,,183,5,21,160,7618
1338,18,Market,Local Bazaar - Mauritius,"Main Street, Mauritius, Mauritius",70,Marrakech,15,,,Hong Kong,11,,,,194,71073,2020,3,5,,184,4,15,109,4994
1339,18,Park,National Park - Mauritius,"Main Street, Mauritius, Mauritius",71,Merzouga,15,,,Japan,11,,,,195,113,2020,3,4,,185,5,21,163,426
1340,18,Market,Night Market - Mauritius,"Main Street, Mauritius, Mauritius",72,Ouarzazate,15,,,North Korea,11,,,,205,16816,2020,3,5,,187,2,8,51,1847
1341,18,Beach,Paradise Beach - Mauritius,"Main Street, Mauritius, Mauritius",73,Oujda,15,,,South Korea,11,,,,206,41624,2020,3,5,,189,4,15,109,1434
1342,13,Market,Farmers' Market - Bel Ombre,"Main Street, Bel Ombre, Mauritius",74,Rabat,15,,,Taiwan,11,,,,207,33038,2020,3,5,,190,2,8,50,611
1343,13,Museum,History Museum - Bel Ombre,"Main Street, Bel Ombre, Mauritius",75,Bizerte,16,,,Bahrain,12,,,,208,46031,2020,2,4,,191,5,21,163,9036
1344,13,Market,Flea Market - Bel Ombre,"Main Street, Bel Ombre, Mauritius",76,Carthage,16,,,Cyprus,12,,,,211,81844,2020,3,5,,192,5,21,163,8652
1345,13,Temple,Grand Mosque - Bel Ombre,"Main Street, Bel Ombre, Mauritius",77,Ezzahra,16,,,Iran,12,,,,212,64368,2020,2,5,,194,2,8,51,1923
1346,22,Museum,History Museum - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius",78,Sidi Bou Said,16,,,Iraq,12,,,,213,51849,2020,3,5,,196,4,15,109,3973
1347,22,Temple,Sacred Shrine - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius",79,Sousse,16,,,Israel,12,,,,223,53252,2019,4,5,,199,5,21,163,426
1348,22,Beach,Golden Sand Beach - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius",80,Tunis,16,,,Jordan,12,,,,224,29563,2020,3,5,,200,3,14,108,3667
1349,22,Beach,Sunset Cove - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius",81,tunisie,16,,,Kuwait,12,,,,225,66839,2020,2,4,,208,2,8,51,1592
1350,24,Market,Farmers' Market - Cerf Island,"Main Street, Cerf Island, Seychelles",82,Luanda,17,,,Lebanon,12,,,,226,42947,2020,1,5,,213,4,16,115,5487
1351,24,Market,Local Bazaar - Cerf Island,"Main Street, Cerf Island, Seychelles",83,Botswana,18,,,Libya,12,,,,231,77269,2020,3,4,,218,5,21,163,8450
1352,24,Temple,Cathedral - Cerf Island,"Main Street, Cerf Island, Seychelles",84,Gaborone,18,,,Oman,12,,,,232,4371,2020,3,5,,228,3,13,93,2725
1353,24,Temple,Cathedral - Cerf Island,"Main Street, Cerf Island, Seychelles",85,Chintheche,19,,,Palestine,12,,,,233,25561,2019,6,5,,230,4,15,109,5267
1354,25,Market,Night Market - Mahe Island,"Main Street, Mahe Island, Seychelles",86,Maputo,20,,,Qatar,12,,,,236,16514,2020,3,3,,231,5,21,163,8258
1355,25,Temple,Cathedral - Mahe Island,"Main Street, Mahe Island, Seychelles",87,Mozambique,20,,,Saudi Arabia,12,,,,237,52730,2020,3,5,,234,1,4,22,107
1356,25,Museum,History Museum - Mahe Island,"Main Street, Mahe Island, Seychelles",88,Ponta do Ouro,20,,,Turkey,12,,,,238,21256,2020,3,5,,239,5,21,163,8686
1357,25,Temple,Sacred Shrine - Mahe Island,"Main Street, Mahe Island, Seychelles",89,Tofinho,20,,,United Arab Emirates,12,,,,239,45191,2020,3,5,,240,4,15,109,3987
1358,26,Park,Botanical Garden - Victoria,"Main Street, Victoria, Seychelles",90,Swakopmund,21,,,Afghanistan,13,,,,240,81154,2020,3,4,,242,4,15,109,4303
1359,26,Beach,Sunset Cove - Victoria,"Main Street, Victoria, Seychelles",91,Walvis Bay,21,,,Bangladesh,13,,,,241,57365,2020,3,4,,247,2,8,48,371
1360,26,Museum,Cultural Heritage Center - Victoria,"Main Street, Victoria, Seychelles",92,Windhoek,21,,,Bhutan,13,,,,242,85847,2020,3,4,,249,5,17,123,5781
1361,26,Museum,Science Museum - Victoria,"Main Street, Victoria, Seychelles",93,Alberton,22,,,India,13,,,,244,59810,2020,3,4,,255,4,15,109,3687
1362,28,Market,Night Market - Port Sudan,"Main Street, Port Sudan, Sudan",94,Ballito,22,,,Maldives,13,,,,246,16482,2020,1,5,,256,4,15,109,3687
1363,28,Market,Farmers' Market - Port Sudan,"Main Street, Port Sudan, Sudan",95,Barrydale,22,,,Nepal,13,,,,249,45653,2020,2,5,,266,4,15,109,3687
1364,28,Museum,Science Museum - Port Sudan,"Main Street, Port Sudan, Sudan",96,Bedfordview,22,,,Pakistan,13,,,,250,70967,2020,3,5,,267,4,15,109,4940
1365,28,Beach,Sunset Cove - Port Sudan,"Main Street, Port Sudan, Sudan",97,Benoni,22,,,Sri Lanka,13,,,,252,63138,2020,2,4,,268,4,15,109,4964
1366,30,Market,Farmers' Market - Sudan,"Main Street, Sudan, Sudan",98,Bergville,22,,,Brunei Darussalam,14,,,,254,17811,2020,2,5,,269,3,14,101,3061
1367,30,Park,Botanical Garden - Sudan,"Main Street, Sudan, Sudan",99,Bloemfontein,22,,,Cambodia,14,,,,258,10370,2020,2,4,,271,5,20,157,7052
1368,30,Museum,History Museum - Sudan,"Main Street, Sudan, Sudan",100,Bloubergstrand,22,,,East Timor,14,,,,259,28567,2020,2,5,,272,5,20,157,7169
1369,30,Beach,Golden Sand Beach - Sudan,"Main Street, Sudan, Sudan",101,Bluff,22,,,Indonesia,14,,,,262,43435,2020,2,4,,274,2,8,48,491
1370,27,Beach,Golden Sand Beach - Khartoum,"Main Street, Khartoum, Sudan",102,Boksburg,22,,,Laos,14,,,,264,25621,2020,2,5,,276,5,21,159,7470
1371,27,Park,Botanical Garden - Khartoum,"Main Street, Khartoum, Sudan",103,Brackenfell,22,,,Malaysia,14,,,,266,24948,2020,2,5,,277,5,21,163,781
1372,27,Beach,Paradise Beach - Khartoum,"Main Street, Khartoum, Sudan",104,Camperdown,22,,,Myanmar,14,,,,268,14459,2020,2,5,,279,4,15,109,1434
1373,27,Park,Eco Park - Khartoum,"Main Street, Khartoum, Sudan",105,Cape Point,22,,,Philippines,14,,,,273,57716,2020,2,3,,286,5,21,158,7199
1374,31,Market,Night Market - Arusha,"Main Street, Arusha, Tanzania",106,Cape Town,22,,,Singapore,14,,,,278,77961,2020,2,5,,288,4,15,109,535
1375,31,Market,Flea Market - Arusha,"Main Street, Arusha, Tanzania",107,Cape Town Central,22,,,Thailand,14,,,,279,32533,2020,2,5,,296,4,15,109,1434
1376,31,Market,Farmers' Market - Arusha,"Main Street, Arusha, Tanzania",108,Cape Town S. Africa,22,,,Vietnam,14,,,,282,8481,2020,2,5,,302,3,14,106,3551
1377,31,Market,Night Market - Arusha,"Main Street, Arusha, Tanzania",109,Cape Winelands District Municipality,22,,,Australia,15,,,,284,53690,2019,4,5,,303,3,14,106,3551
1378,32,Beach,Golden Sand Beach - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania",110,Centurion,22,,,Fiji,16,,,,286,51055,2020,2,4,,315,5,21,163,8916
1379,32,Temple,Cathedral - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania",111,Clarens,22,,,French Polynesia,16,,,,288,62791,2020,2,3,,316,2,8,51,1552
1380,32,Park,National Park - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania",112,Constantia,22,,,Mariana Islands,16,,,,290,23746,2020,2,5,,317,5,21,163,426
1381,32,Beach,Crystal Bay - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania",113,CPT-South Africa,22,,,Marshall Islands,16,,,,293,46065,2020,2,4,,319,4,16,115,5506
1382,36,Park,Wildlife Reserve - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania",114,Durban,22,,,New Caledonia,16,,,,297,58995,2020,1,5,,320,4,15,109,3945
1383,36,Market,Flea Market - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania",115,Durban South africa,22,,,New Zealand,16,,,,298,75223,2020,2,5,,327,5,17,135,583
1384,36,Beach,Crystal Bay - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania",116,Durbanville,22,,,Papua New Guinea,16,,,,300,11099,2020,2,5,,328,2,8,51,1752
1385,36,Beach,Golden Sand Beach - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania",117,East London,22,,,Solomon Islands,16,,,,308,39393,2020,2,5,,336,4,15,109,1434
1386,37,Temple,Sacred Shrine - Kampala,"Main Street, Kampala, Uganda",118,East London South Africa,22,,,Tonga,16,,,,309,4453,2020,2,5,,337,3,14,101,3230
1387,37,Temple,Grand Mosque - Kampala,"Main Street, Kampala, Uganda",119,Edenvale,22,,,Vanuatu,16,,,,310,53132,2020,2,3,,339,1,4,22,106
1388,37,Park,Botanical Garden - Kampala,"Main Street, Kampala, Uganda",120,Edgemead,22,,,Europe,0,,,,312,34227,2020,2,5,,340,4,15,109,535
1389,37,Beach,Crystal Bay - Kampala,"Main Street, Kampala, Uganda",121,Garden Route,22,,,Austria,17,,,,313,18600,2020,2,4,,341,3,14,101,3013
1390,39,Beach,Sunset Cove - Lusaka,"Main Street, Lusaka, Zambia",122,Gauteng,22,,,Croatia,17,,,,314,78886,2020,1,5,,346,5,21,163,8317
1391,39,Museum,Cultural Heritage Center - Lusaka,"Main Street, Lusaka, Zambia",123,George,22,,,Czech Republic,17,,,,315,18325,2020,2,1,,348,4,15,109,4940
1392,39,Museum,Art Gallery - Lusaka,"Main Street, Lusaka, Zambia",124,Germiston,22,,,Estonia,17,,,,316,30475,2020,2,5,,349,5,17,130,6098
1393,39,Temple,Ancient Temple - Lusaka,"Main Street, Lusaka, Zambia",125,Gillitts,22,,,Germany,17,,,,320,51292,2020,2,4,,351,4,15,109,3687
1394,42,Museum,History Museum - Victoria Falls,"Main Street, Victoria Falls, Zambia",126,Goodwood,22,,,Hungary,17,,,,321,74902,2020,2,2,,356,5,21,163,1633
1395,42,Beach,Golden Sand Beach - Victoria Falls,"Main Street, Victoria Falls, Zambia",127,Grahamstown,22,,,Latvia,17,,,,325,30233,2020,2,5,,359,4,15,109,5046
1396,42,Museum,Cultural Heritage Center - Victoria Falls,"Main Street, Victoria Falls, Zambia",128,Greater Johannesburg,22,,,Lithuania,17,,,,328,42707,2020,2,4,,361,2,8,51,2081
1397,42,Park,National Park - Victoria Falls,"Main Street, Victoria Falls, Zambia",129,Hartenbos,22,,,Luxembourg,17,,,,330,25682,2020,2,5,,365,5,21,162,3728
1398,40,Market,Flea Market - Solwezi,"Main Street, Solwezi, Zambia",130,Hazyview,22,,,Poland,17,,,,331,38154,2019,5,5,,369,4,15,109,3687
1399,40,Temple,Grand Mosque - Solwezi,"Main Street, Solwezi, Zambia",131,Hermanus,22,,,Romania,17,,,,333,44234,2020,2,5,,378,4,15,109,535
1400,40,Museum,Science Museum - Solwezi,"Main Street, Solwezi, Zambia",132,Hoedspruit,22,,,Serbia,17,,,,334,22217,2020,2,5,,382,3,13,93,2905
1401,40,Park,Eco Park - Solwezi,"Main Street, Solwezi, Zambia",133,Hout Bay,22,,,Slovakia,17,,,,338,12892,2020,2,5,,386,4,15,109,1434
1402,43,Market,Local Bazaar - Harare,"Main Street, Harare, Zimbabwe",134,Illovo,22,,,Slovenia,17,,,,339,47829,2020,1,5,,388,1,4,22,110
1403,43,Beach,Golden Sand Beach - Harare,"Main Street, Harare, Zimbabwe",135,Jeffreys Bay,22,,,Switzerland,17,,,,344,21300,2020,2,2,,390,3,12,88,2606
1404,43,Museum,Science Museum - Harare,"Main Street, Harare, Zimbabwe",136,Johannesburg,22,,,Azerbaijan,18,,,,345,17884,2019,10,5,,393,5,17,122,5729
1405,43,Museum,History Museum - Harare,"Main Street, Harare, Zimbabwe",137,Johannesburg South,22,,,Belarus,18,,,,346,53500,2020,2,4,,396,2,8,51,682
1406,45,Beach,Paradise Beach - Algiers,"Main Street, Algiers, Algeria",138,Johannesburg South Africa,22,,,Georgia,18,,,,347,76106,2020,2,5,,397,4,15,109,3915
1407,45,Beach,Crystal Bay - Algiers,"Main Street, Algiers, Algeria",139,Kempton Park,22,,,Russia,18,,,,348,47053,2020,2,5,,399,5,17,130,6117
1408,45,Market,Flea Market - Algiers,"Main Street, Algiers, Algeria",140,Kemptonpark,22,,,Ukraine,18,,,,349,85394,2019,3,4,,404,5,17,125,5954
1409,45,Temple,Ancient Temple - Algiers,"Main Street, Algiers, Algeria",141,Kenilworth,22,,,Denmark,19,,,,351,87911,2020,1,5,,408,5,17,127,6062
1410,47,Park,Eco Park - Oran,"Main Street, Oran, Algeria",142,Kimberley,22,,,Finland,19,,,,353,75196,2020,1,3,,410,3,14,101,3013
1411,47,Beach,Golden Sand Beach - Oran,"Main Street, Oran, Algeria",143,Kirkwood,22,,,Iceland,19,,,,354,85613,2020,1,5,,418,3,14,101,3098
1412,47,Museum,Cultural Heritage Center - Oran,"Main Street, Oran, Algeria",144,Klerksdorp,22,,,Norway,19,,,,361,9756,2020,1,3,,419,5,21,163,4736
1413,47,Market,Farmers' Market - Oran,"Main Street, Oran, Algeria",145,Kloof,22,,,Sweden,19,,,,365,85188,2020,1,4,,421,5,21,163,1396
1414,44,Museum,Art Gallery - Alger,"Main Street, Alger, Algeria",146,Knysna,22,,,Albania,20,,,,368,21447,2020,1,4,,422,2,8,51,1358
1415,44,Market,Night Market - Alger,"Main Street, Alger, Algeria",147,Krugersdorp,22,,,Bosnia and Herzegovina,20,,,,370,70281,2020,1,5,,425,3,14,106,3551
1416,44,Market,Night Market - Alger,"Main Street, Alger, Algeria",148,Kuils River,22,,,Bulgaria,20,,,,371,68787,2020,1,5,,426,4,15,109,3702
1417,44,Park,Botanical Garden - Alger,"Main Street, Alger, Algeria",149,KwaZulu-Natal,22,,,Cyprus,20,,,,373,4179,2020,1,4,,430,3,13,93,2708
1418,48,Temple,Cathedral - Ad Duqqi,"Main Street, Ad Duqqi, Egypt",150,Langebaan,22,,,Greece,20,,,,374,58932,2020,1,5,,432,5,21,159,7494
1419,48,Temple,Sacred Shrine - Ad Duqqi,"Main Street, Ad Duqqi, Egypt",151,Lenasia,22,,,Italy,20,,,,376,5021,2020,1,4,,433,4,15,109,4262
1420,48,Beach,Paradise Beach - Ad Duqqi,"Main Street, Ad Duqqi, Egypt",152,Llandudno,22,,,Malta,20,,,,379,82983,2020,1,4,,435,5,21,163,8317
1421,48,Beach,Golden Sand Beach - Ad Duqqi,"Main Street, Ad Duqqi, Egypt",153,Maseru,22,,,Moldova,20,,,,386,19681,2020,1,3,,442,3,14,106,3551
1422,49,Temple,Ancient Temple - Al Rehab,"Main Street, Al Rehab, Egypt",154,Meyerton,22,,,Montenegro,20,,,,387,23890,2020,1,3,,444,5,21,163,8757
1423,49,Market,Flea Market - Al Rehab,"Main Street, Al Rehab, Egypt",155,Midrand,22,,,Portugal,20,,,,389,75107,2020,1,5,,445,5,21,163,8221
